ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
14291,50000.0,1,2,2,26,0,0,0,0,0,0,47974.0,48527.0,49381.0,9999.0,8793.0,9138.0,2500.0,2000.0,324.0,1000.0,1000.0,500.0
26096,50000.0,2,2,1,46,-2,-1,-1,0,-1,-1,4640.0,2720.0,26461.0,11882.0,280.0,290.0,2720.0,26461.0,1034.0,280.0,300.0,1535.0
27399,180000.0,1,2,2,41,-2,-2,-2,-2,-2,-2,0.0,900.0,910.0,0.0,0.0,0.0,900.0,910.0,0.0,0.0,0.0,0.0
586,20000.0,2,1,2,25,0,0,0,0,0,2,14603.0,15661.0,16394.0,16723.0,18056.0,17618.0,1600.0,1300.0,600.0,1600.0,0.0,800.0
27867,70000.0,2,1,1,25,0,0,0,0,0,-1,69334.0,66987.0,58055.0,44593.0,-1380.0,48757.0,3000.0,2213.0,1565.0,0.0,50137.0,1800.0
4282,80000.0,2,1,2,25,-1,-1,-1,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
6039,130000.0,2,2,2,23,2,2,2,2,0,0,115978.0,121386.0,108759.0,94692.0,96419.0,98233.0,12073.0,3400.0,0.0,3482.0,4037.0,2630.0
11765,240000.0,2,2,2,37,-2,-2,-2,-2,-2,-2,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13137,300000.0,1,1,1,34,0,0,0,0,0,0,1257.0,6467.0,7655.0,7507.0,7659.0,-574.0,5600.0,1500.0,0.0,300.0,0.0,6600.0
26442,360000.0,2,1,2,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6415,140000.0,2,1,1,33,1,-1,-1,-2,-2,-2,0.0,840.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0
15256,80000.0,2,2,2,33,-1,-1,-2,-1,0,0,1305.0,-789.0,-789.0,1042.0,1042.0,0.0,0.0,0.0,2000.0,0.0,0.0,193.0
3884,50000.0,1,2,2,24,0,0,0,0,0,0,33715.0,22824.0,17144.0,18104.0,19205.0,19014.0,6600.0,1900.0,1500.0,1500.0,1500.0,1500.0
12323,120000.0,2,2,2,25,1,-2,-1,-1,-1,-2,0.0,0.0,12162.0,1553.0,0.0,0.0,0.0,12162.0,1553.0,0.0,0.0,0.0
15643,360000.0,2,2,1,38,-1,-1,-1,0,-1,0,994.0,0.0,27566.0,28558.0,12495.0,18906.0,0.0,27566.0,2513.0,12495.0,8906.0,1841.0
